ACFT_ID;Profile_ID;Stage Length;Step Number;Step Type;Thrust Rating;Flap_ID;End Point Altitude (ft);Rate Of Climb (ft/min);End Point CAS (kt);Accel Percentage (%)
A320-211;DEFAULT;4;2;Climb;MaxTakeoff;1+F;1000.0;;;
A320-211;DEFAULT;4;3;Accelerate;MaxTakeoff;1+F;;972.6;201.4;
A320-211;DEFAULT;4;4;Accelerate;MaxTakeoff;1;;1101.0;218.7;
A320-211;DEFAULT;4;5;Climb;MaxClimb;ZERO;3000.0;;;
A320-211;DEFAULT;4;6;Accelerate;MaxClimb;ZERO;;1021.0;250.0;
A320-211;DEFAULT;4;7;Climb;MaxClimb;ZERO;5500.0;;;
A320-211;DEFAULT;4;8;Climb;MaxClimb;ZERO;7500.0;;;
A320-211;DEFAULT;4;9;Climb;MaxClimb;ZERO;10000.0;;;
A320-211;DEFAULT;5;1;Takeoff;MaxTakeoff;1+F;;;;
A320-211;DEFAULT;5;2;Climb;MaxTakeoff;1+F;1000.0;;;
A320-211;DEFAULT;5;3;Accelerate;MaxTakeoff;1+F;;933.1;205.1;
A320-211;DEFAULT;5;4;Accelerate;MaxTakeoff;1;;1056.0;221.4;
A320-211;DEFAULT;5;5;Climb;MaxClimb;ZERO;3000.0;;;
A320-211;DEFAULT;5;6;Accelerate;MaxClimb;ZERO;;973.2;250.0;
A320-211;DEFAULT;5;7;Climb;MaxClimb;ZERO;5500.0;;;
A320-211;DEFAULT;5;8;Climb;MaxClimb;ZERO;7500.0;;;
A320-211;DEFAULT;5;9;Climb;MaxClimb;ZERO;10000.0;;;
A320-211;ICAO_A;1;1;Takeoff;MaxTakeoff;1+F;;;;
A320-211;ICAO_A;1;2;Climb;MaxTakeoff;1+F;1500.0;;;
A320-211;ICAO_A;1;3;Climb;MaxClimb;1+F;3000.0;;;
A320-211;ICAO_A;1;4;Accelerate;MaxClimb;1+F;;812.1;186.1;
A320-211;ICAO_A;1;5;Accelerate;MaxClimb;1;;933.5;201.2;
A320-211;ICAO_A;1;6;Accelerate;MaxClimb;ZERO;;1119.7;228.2;
A320-211;ICAO_A;1;7;Accelerate;MaxClimb;ZERO;;1240.5;250.0;
A320-211;ICAO_A;1;8;Climb;MaxClimb;ZERO;5500.0;;;
A320-211;ICAO_A;1;9;Climb;MaxClimb;ZERO;7500.0;;;
A320-211;ICAO_A;1;10;Climb;MaxClimb;ZERO;10000.0;;;
A320-211;ICAO_A;2;1;Takeoff;MaxTakeoff;1+F;;;;
A320-211;ICAO_A;2;2;Climb;MaxTakeoff;1+F;1500.0;;;
A320-211;ICAO_A;2;3;Climb;MaxClimb;1+F;3000.0;;;
A320-211;ICAO_A;2;4;Accelerate;MaxClimb;1+F;;769.5;190.1;
A320-211;ICAO_A;2;5;Accelerate;MaxClimb;1;;899.8;204.3;
A320-211;ICAO_A;2;6;Accelerate;MaxClimb;ZERO;;1069.9;229.9;
A320-211;ICAO_A;2;7;Accelerate;MaxClimb;ZERO;;1176.4;250.0;
A320-211;ICAO_A;2;8;Climb;MaxClimb;ZERO;5500.0;;;
A320-211;ICAO_A;2;9;Climb;MaxClimb;ZERO;7500.0;;;
A320-211;ICAO_A;2;10;Climb;MaxClimb;ZERO;10000.0;;;
A320-211;ICAO_A;3;1;Takeoff;MaxTakeoff;1+F;;;;
A320-211;ICAO_A;3;2;Climb;MaxTakeoff;1+F;1500.0;;;
A320-211;ICAO_A;3;3;Climb;MaxClimb;1+F;3000.0;;;
A320-211;ICAO_A;3;4;Accelerate;MaxClimb;1+F;;730.3;194.1;
A320-211;ICAO_A;3;5;Accelerate;MaxClimb;1;;868.0;207.6;
A320-211;ICAO_A;3;6;Accelerate;MaxClimb;ZERO;;1021.8;231.7;
A320-211;ICAO_A;3;7;Accelerate;MaxClimb;ZERO;;1115.4;250.0;
A320-211;ICAO_A;3;8;Climb;MaxClimb;ZERO;5500.0;;;
A320-211;ICAO_A;3;9;Climb;MaxClimb;ZERO;7500.0;;;
A320-211;ICAO_A;3;10;Climb;MaxClimb;ZERO;10000.0;;;
A320-211;ICAO_A;4;1;Takeoff;MaxTakeoff;1+F;;;;
A320-211;ICAO_A;4;2;Climb;MaxTakeoff;1+F;1500.0;;;
A320-211;ICAO_A;4;3;Climb;MaxClimb;1+F;3000.0;;;
A320-211;ICAO_A;4;4;Accelerate;MaxClimb;1+F;;670.3;201.2;
A320-211;ICAO_A;4;5;Accelerate;MaxClimb;1;;816.4;213.5;
A320-211;ICAO_A;4;6;Accelerate;MaxClimb;ZERO;;942.0;235.2;
A320-211;ICAO_A;4;7;Accelerate;MaxClimb;ZERO;;1017.5;250.0;
A320-211;ICAO_A;4;8;Climb;MaxClimb;ZERO;5500.0;;;
A320-211;ICAO_A;4;9;Climb;MaxClimb;ZERO;7500.0;;;
A320-211;ICAO_A;4;10;Climb;MaxClimb;ZERO;10000.0;;;
A320-211;ICAO_A;5;1;Takeoff;MaxTakeoff;1+F;;;;
A320-211;ICAO_A;5;2;Climb;MaxTakeoff;1+F;1500.0;;;
A320-211;ICAO_A;5;3;Climb;MaxClimb;1+F;3000.0;;;
A320-211;ICAO_A;5;4;Accelerate;MaxClimb;1+F;;640.5;205.0;
A320-211;ICAO_A;5;5;Accelerate;MaxClimb;1;;789.5;216.6;
A320-211;ICAO_A;5;6;Accelerate;MaxClimb;ZERO;;899.5;237.1;
A320-211;ICAO_A;5;7;Accelerate;MaxClimb;ZERO;;968.2;250.0;
A320-211;ICAO_A;5;8;Climb;MaxClimb;ZERO;5500.0;;;
A320-211;ICAO_A;5;9;Climb;MaxClimb;ZERO;7500.0;;;
A320-211;ICAO_A;5;10;Climb;MaxClimb;ZERO;10000.0;;;
A320-211;ICAO_B;1;1;Takeoff;MaxTakeoff;1+F;;;;
A320-211;ICAO_B;1;2;Climb;MaxTakeoff;1+F;1000.0;;;
A320-211;ICAO_B;1;3;Accelerate;MaxTakeoff;1+F;;1150.5;186.2;
A320-211;ICAO_B;1;4;Accelerate;MaxTakeoff;1;;1300.7;208.1;
A320-211;ICAO_B;1;5;Climb;MaxClimb;ZERO;3000.0;;;
A320-211;ICAO_B;1;6;Accelerate;MaxClimb;ZERO;;1230.7;250.0;
A320-211;ICAO_B;1;7;Climb;MaxClimb;ZERO;5500.0;;;
A320-211;ICAO_B;1;8;Climb;MaxClimb;ZERO;7500.0;;;
A320-211;ICAO_B;1;9;Climb;MaxClimb;ZERO;10000.0;;;
A320-211;ICAO_B;2;1;Takeoff;MaxTakeoff;1+F;;;;
A320-211;ICAO_B;2;2;Climb;MaxTakeoff;1+F;1000.0;;;
A320-211;ICAO_B;2;3;Accelerate;MaxTakeoff;1+F;;1098.5;190.2;
A320-211;ICAO_B;2;4;Accelerate;MaxTakeoff;1;;1243.7;210.7;
A320-211;ICAO_B;2;5;Climb;MaxClimb;ZERO;3000.0;;;
A320-211;ICAO_B;2;6;Accelerate;MaxClimb;ZERO;;1171.0;250.0;
A320-211;ICAO_B;2;7;Climb;MaxClimb;ZERO;5500.0;;;
A320-211;ICAO_B;2;8;Climb;MaxClimb;ZERO;7500.0;;;
A320-211;ICAO_B;2;9;Climb;MaxClimb;ZERO;10000.0;;;
A320-211;ICAO_B;3;1;Takeoff;MaxTakeoff;1+F;;;;
A320-211;ICAO_B;3;2;Climb;MaxTakeoff;1+F;1000.0;;;
A320-211;ICAO_B;3;3;Accelerate;MaxTakeoff;1+F;;1049.6;194.3;
A320-211;ICAO_B;3;4;Accelerate;MaxTakeoff;1;;1189.2;213.5;
A320-211;ICAO_B;3;5;Climb;MaxClimb;ZERO;3000.0;;;
A320-211;ICAO_B;3;6;Accelerate;MaxClimb;ZERO;;1113.9;250.0;
A320-211;ICAO_B;3;7;Climb;MaxClimb;ZERO;5500.0;;;
A320-211;ICAO_B;3;8;Climb;MaxClimb;ZERO;7500.0;;;
A320-211;ICAO_B;3;9;Climb;MaxClimb;ZERO;10000.0;;;
A320-211;ICAO_B;4;1;Takeoff;MaxTakeoff;1+F;;;;
A320-211;ICAO_B;4;2;Climb;MaxTakeoff;1+F;1000.0;;;
A320-211;ICAO_B;4;3;Accelerate;MaxTakeoff;1+F;;972.6;201.4;
A320-211;ICAO_B;4;4;Accelerate;MaxTakeoff;1;;1101.0;218.7;
A320-211;ICAO_B;4;5;Climb;MaxClimb;ZERO;3000.0;;;
A320-211;ICAO_B;4;6;Accelerate;MaxClimb;ZERO;;1021.0;250.0;
A320-211;ICAO_B;4;7;Climb;MaxClimb;ZERO;5500.0;;;
A320-211;ICAO_B;4;8;Climb;MaxClimb;ZERO;7500.0;;;
A320-211;ICAO_B;4;9;Climb;MaxClimb;ZERO;10000.0;;;
A320-211;ICAO_B;5;1;Takeoff;MaxTakeoff;1+F;;;;
A320-211;ICAO_B;5;2;Climb;MaxTakeoff;1+F;1000.0;;;
A320-211;ICAO_B;5;3;Accelerate;MaxTakeoff;1+F;;933.1;205.1;
A320-211;ICAO_B;5;4;Accelerate;MaxTakeoff;1;;1056.0;221.4;
A320-211;ICAO_B;5;5;Climb;MaxClimb;ZERO;3000.0;;;
A320-211;ICAO_B;5;6;Accelerate;MaxClimb;ZERO;;973.2;250.0;
A320-211;ICAO_B;5;7;Climb;MaxClimb;ZERO;5500.0;;;
A320-211;ICAO_B;5;8;Climb;MaxClimb;ZERO;7500.0;;;
A320-211;ICAO_B;5;9;Climb;MaxClimb;ZERO;10000.0;;;
